EnviroPad,Time,Temperature(°C)
1,24/10/2023 10:21:36,58.7
2,24/10/2023 10:21:37,58.6
3,24/10/2023 10:21:38,58.6
4,24/10/2023 10:21:39,58.6
5,24/10/2023 10:21:40,58.6
6,24/10/2023 10:21:41,58.6
7,24/10/2023 10:21:42,58.6
8,24/10/2023 10:21:43,58.5
9,24/10/2023 10:21:44,58.5
10,24/10/2023 10:21:45,58.5
11,24/10/2023 10:21:46,58.2
12,24/10/2023 10:21:47,58.2
13,24/10/2023 10:21:48,57.9
14,24/10/2023 10:21:49,57.9
15,24/10/2023 10:21:50,57.6
16,24/10/2023 10:21:51,57.5
17,24/10/2023 10:21:52,57.4
18,24/10/2023 10:21:53,57.3
19,24/10/2023 10:21:54,57.2
20,24/10/2023 10:21:55,57.1
21,24/10/2023 10:21:56,57.1
22,24/10/2023 10:21:57,57.0
23,24/10/2023 10:21:58,57.0
24,24/10/2023 10:21:59,57.0
25,24/10/2023 10:22:00,57.0
26,24/10/2023 10:22:01,57.6
27,24/10/2023 10:22:02,57.6
28,24/10/2023 10:22:03,58.6
29,24/10/2023 10:22:04,59.1
30,24/10/2023 10:22:05,60.8
31,24/10/2023 10:22:06,61.6
32,24/10/2023 10:22:07,63.9
33,24/10/2023 10:22:08,65.7
34,24/10/2023 10:22:09,67.1
35,24/10/2023 10:22:10,70.4
36,24/10/2023 10:22:11,71.5
37,24/10/2023 10:22:12,75.8
38,24/10/2023 10:22:13,75.8
39,24/10/2023 10:22:14,80.4
40,24/10/2023 10:22:15,81.7
41,24/10/2023 10:22:16,85.2
42,24/10/2023 10:22:17,88.1
43,24/10/2023 10:22:18,90.3
44,24/10/2023 10:22:19,94.9
45,24/10/2023 10:22:20,96.4
46,24/10/2023 10:22:21,102.0
47,24/10/2023 10:22:22,102.0
48,24/10/2023 10:22:23,107.7
49,24/10/2023 10:22:24,109.3
50,24/10/2023 10:22:25,113.2
51,24/10/2023 10:22:26,114.9
52,24/10/2023 10:22:27,119.9
53,24/10/2023 10:22:28,123.3
54,24/10/2023 10:22:29,125.8
55,24/10/2023 10:22:30,130.9
56,24/10/2023 10:22:31,132.6
57,24/10/2023 10:22:32,138.5
58,24/10/2023 10:22:33,138.5
59,24/10/2023 10:22:34,144.1
60,24/10/2023 10:22:35,145.7
61,24/10/2023 10:22:36,149.3
62,24/10/2023 10:22:37,152.1
63,24/10/2023 10:22:38,154.1
64,24/10/2023 10:22:39,157.8
65,24/10/2023 10:22:40,158.9
66,24/10/2023 10:22:41,162.5
67,24/10/2023 10:22:42,162.5
68,24/10/2023 10:22:43,165.7
69,24/10/2023 10:22:44,166.5
70,24/10/2023 10:22:45,168.4
71,24/10/2023 10:22:46,169.8
72,24/10/2023 10:22:47,170.8
73,24/10/2023 10:22:48,172.5
74,24/10/2023 10:22:49,173.1
75,24/10/2023 10:22:50,174.8
76,24/10/2023 10:22:51,174.8
77,24/10/2023 10:22:52,176.4
78,24/10/2023 10:22:53,176.8
79,24/10/2023 10:22:54,177.8
80,24/10/2023 10:22:55,178.5
81,24/10/2023 10:22:56,179.0
82,24/10/2023 10:22:57,180.3
83,24/10/2023 10:22:58,180.8
84,24/10/2023 10:22:59,182.7
85,24/10/2023 10:23:00,182.7
86,24/10/2023 10:23:01,184.8
87,24/10/2023 10:23:02,185.4
88,24/10/2023 10:23:03,187.0
89,24/10/2023 10:23:04,188.2
90,24/10/2023 10:23:05,189.1
91,24/10/2023 10:23:06,190.8
92,24/10/2023 10:23:07,191.3
93,24/10/2023 10:23:08,193.0
94,24/10/2023 10:23:09,193.0
95,24/10/2023 10:23:10,194.5
96,24/10/2023 10:23:11,194.9
97,24/10/2023 10:23:12,195.8
98,24/10/2023 10:23:13,196.5
99,24/10/2023 10:23:14,197.0
100,24/10/2023 10:23:15,197.8
101,24/10/2023 10:23:16,198.1
102,24/10/2023 10:23:17,198.6
103,24/10/2023 10:23:18,198.9
104,24/10/2023 10:23:19,199.9
105,24/10/2023 10:23:20,200.2
106,24/10/2023 10:23:21,201.0
107,24/10/2023 10:23:22,201.4
108,24/10/2023 10:23:23,202.7
109,24/10/2023 10:23:24,203.1
110,24/10/2023 10:23:25,204.2
111,24/10/2023 10:23:26,205.1
112,24/10/2023 10:23:27,205.8
113,24/10/2023 10:23:28,207.0
114,24/10/2023 10:23:29,207.3
115,24/10/2023 10:23:30,208.6
116,24/10/2023 10:23:31,208.9
117,24/10/2023 10:23:32,209.7
118,24/10/2023 10:23:33,209.9
119,24/10/2023 10:23:34,210.2
120,24/10/2023 10:23:35,210.7
121,24/10/2023 10:23:36,211.2
122,24/10/2023 10:23:37,211.9
123,24/10/2023 10:23:38,212.2
124,24/10/2023 10:23:39,212.6
125,24/10/2023 10:23:40,212.8
126,24/10/2023 10:23:41,213.2
127,24/10/2023 10:23:42,213.4
128,24/10/2023 10:23:43,214.1
129,24/10/2023 10:23:44,214.6
130,24/10/2023 10:23:45,215.2
131,24/10/2023 10:23:46,216.2
132,24/10/2023 10:23:47,216.8
133,24/10/2023 10:23:48,217.9
134,24/10/2023 10:23:49,218.2
135,24/10/2023 10:23:50,219.1
136,24/10/2023 10:23:51,219.4
137,24/10/2023 10:23:52,220.2
138,24/10/2023 10:23:53,220.7
139,24/10/2023 10:23:54,221.1
140,24/10/2023 10:23:55,221.7
141,24/10/2023 10:23:56,222.0
142,24/10/2023 10:23:57,222.5
143,24/10/2023 10:23:58,222.7
144,24/10/2023 10:23:59,223.0
145,24/10/2023 10:24:00,223.1
146,24/10/2023 10:24:01,223.4
147,24/10/2023 10:24:02,223.5
148,24/10/2023 10:24:03,223.8
149,24/10/2023 10:24:04,223.9
150,24/10/2023 10:24:05,224.1
151,24/10/2023 10:24:06,224.3
152,24/10/2023 10:24:07,224.8
153,24/10/2023 10:24:08,225.2
154,24/10/2023 10:24:09,225.7
155,24/10/2023 10:24:10,226.5
156,24/10/2023 10:24:11,226.7
157,24/10/2023 10:24:12,227.4
158,24/10/2023 10:24:13,227.7
159,24/10/2023 10:24:14,228.5
160,24/10/2023 10:24:15,228.7
161,24/10/2023 10:24:16,229.3
162,24/10/2023 10:24:17,229.6
163,24/10/2023 10:24:18,230.1
164,24/10/2023 10:24:19,230.4
165,24/10/2023 10:24:20,230.6
166,24/10/2023 10:24:21,230.9
167,24/10/2023 10:24:22,230.9
168,24/10/2023 10:24:23,231.1
