EnviroPad,Time,Temperature(°C)
1,20/10/2023 11:14:38,33
2,20/10/2023 11:14:39,32.9
3,20/10/2023 11:14:40,32.9
4,20/10/2023 11:14:41,32.9
5,20/10/2023 11:14:42,32.9
6,20/10/2023 11:14:43,32.9
7,20/10/2023 11:14:44,32.9
8,20/10/2023 11:14:45,32.9
9,20/10/2023 11:14:46,32.9
10,20/10/2023 11:14:47,32.9
11,20/10/2023 11:14:48,32.9
12,20/10/2023 11:14:49,32.9
13,20/10/2023 11:14:50,32.9
14,20/10/2023 11:14:51,32.9
15,20/10/2023 11:14:52,32.9
16,20/10/2023 11:14:53,32.9
17,20/10/2023 11:14:54,32.9
18,20/10/2023 11:14:55,32.9
19,20/10/2023 11:14:56,32.9
20,20/10/2023 11:14:57,32.9
21,20/10/2023 11:14:58,32.9
22,20/10/2023 11:14:59,32.9
23,20/10/2023 11:15:00,32.9
24,20/10/2023 11:15:01,33.1
25,20/10/2023 11:15:02,33.2
26,20/10/2023 11:15:03,33.8
27,20/10/2023 11:15:04,34.4
28,20/10/2023 11:15:05,35.1
29,20/10/2023 11:15:06,36.9
30,20/10/2023 11:15:07,37.4
31,20/10/2023 11:15:08,39.6
32,20/10/2023 11:15:09,40.4
33,20/10/2023 11:15:10,43.9
34,20/10/2023 11:15:11,45
35,20/10/2023 11:15:12,47.7
36,20/10/2023 11:15:13,50.1
37,20/10/2023 11:15:14,52
38,20/10/2023 11:15:15,54.7
39,20/10/2023 11:15:16,57.4
40,20/10/2023 11:15:17,61.9
41,20/10/2023 11:15:18,63.4
42,20/10/2023 11:15:19,68.7
43,20/10/2023 11:15:20,68.7
44,20/10/2023 11:15:21,74.1
45,20/10/2023 11:15:22,75.7
46,20/10/2023 11:15:23,79.7
47,20/10/2023 11:15:24,83
48,20/10/2023 11:15:25,85.5
49,20/10/2023 11:15:26,90.7
50,20/10/2023 11:15:27,92.4
51,20/10/2023 11:15:28,98.5
52,20/10/2023 11:15:29,98.5
53,20/10/2023 11:15:30,104.3
54,20/10/2023 11:15:31,106
55,20/10/2023 11:15:32,110.2
56,20/10/2023 11:15:33,113.6
57,20/10/2023 11:15:34,116.3
58,20/10/2023 11:15:35,121.7
